Type,Query,Total,Match,Wrong,Missing,Overmatch,Generated,Recall,Precision,F1
,,,,,,,,,,
Ownership,2_1,28,23,4,1,0,27,0.821428571,0.851851852,0.836363636
Containment,2_2,43,31,2,10,0,33,0.720930233,0.939393939,0.815789474
,,,,,,,,,,
Ownership,3,48,37,11,0,21,69,0.770833333,0.536231884,0.632478632
Containment,3,57,48,3,6,21,72,0.842105263,0.666666667,0.744186047
,,,,,,,,,,
Ownership,4,24,15,9,0,15,39,0.625,0.384615385,0.476190476
Containment,4,26,25,1,0,4,30,0.961538462,0.833333333,0.892857143
,,,,,,,,,,
Ownership,5,14,7,7,0,15,29,0.5,0.24137931,0.325581395
Containment,5,16,16,0,0,13,29,1,0.551724138,0.711111111
